donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe_proxy
25,14,1.5,714146da31e0afc82ac1606ae27920d6,1454.97,25,40.0,2.1631,25.6678,0.1759
20,14,1.0,714146da31e0afc82ac1606ae27920d6,1454.51,38,42.11,1.3936,31.756,0.1445
30,7,4.0,714146da31e0afc82ac1606ae27920d6,1445.4,9,44.44,7.5055,32.7508,0.2392
15,20,1.0,714146da31e0afc82ac1606ae27920d6,1443.42,45,40.0,1.3156,39.6375,0.1215
30,14,3.5,714146da31e0afc82ac1606ae27920d6,1442.42,10,50.0,5.2289,30.6852,0.2749
10,20,1.0,714146da31e0afc82ac1606ae27920d6,1441.04,53,37.74,1.1422,43.1839,0.111
10,14,1.0,714146da31e0afc82ac1606ae27920d6,1436.39,53,37.74,1.1337,42.7456,0.1106
25,30,3.5,714146da31e0afc82ac1606ae27920d6,1435.56,13,46.15,4.33,30.022,0.2252
15,14,1.0,714146da31e0afc82ac1606ae27920d6,1431.12,45,40.0,1.2934,39.1856,0.12
30,10,4.0,714146da31e0afc82ac1606ae27920d6,1428.85,9,44.44,7.5451,34.0864,0.2327
20,30,1.5,714146da31e0afc82ac1606ae27920d6,1426.56,28,35.71,2.0096,28.2119,0.1525
25,25,1.5,714146da31e0afc82ac1606ae27920d6,1425.71,26,38.46,2.0445,31.5032,0.1637
20,7,1.5,714146da31e0afc82ac1606ae27920d6,1413.93,26,42.31,2.0468,30.1409,0.1587
25,10,1.5,714146da31e0afc82ac1606ae27920d6,1405.1,25,40.0,1.9951,25.5937,0.166
25,30,1.0,714146da31e0afc82ac1606ae27920d6,1401.11,38,36.84,1.2763,28.1957,0.1351
25,25,3.5,714146da31e0afc82ac1606ae27920d6,1400.56,13,46.15,4.0996,29.9164,0.2159
20,7,4.0,714146da31e0afc82ac1606ae27920d6,1400.26,11,36.36,6.5415,43.165,0.2108
25,20,1.5,714146da31e0afc82ac1606ae27920d6,1398.65,26,38.46,1.9606,31.3395,0.1581
25,25,1.0,714146da31e0afc82ac1606ae27920d6,1389.31,37,35.14,1.2894,28.0416,0.1344
15,14,3.5,714146da31e0afc82ac1606ae27920d6,1380.54,15,40.0,4.7298,51.513,0.1893
20,10,4.0,714146da31e0afc82ac1606ae27920d6,1373.71,11,36.36,6.512,44.6849,0.2042
5,14,1.5,714146da31e0afc82ac1606ae27920d6,1372.05,50,36.0,1.4733,45.5916,0.1031
8,30,1.0,714146da31e0afc82ac1606ae27920d6,1366.0,60,35.0,0.9567,46.0584,0.0942
20,30,1.0,714146da31e0afc82ac1606ae27920d6,1363.82,40,35.0,1.1704,32.1213,0.1229
15,20,3.5,714146da31e0afc82ac1606ae27920d6,1363.22,15,40.0,4.8338,53.496,0.1862
25,30,1.5,714146da31e0afc82ac1606ae27920d6,1354.9,27,37.04,1.7941,31.6709,0.1446
8,25,1.0,714146da31e0afc82ac1606ae27920d6,1352.49,59,35.59,0.9569,45.827,0.0934
20,25,1.0,714146da31e0afc82ac1606ae27920d6,1350.67,39,33.33,1.1771,31.9678,0.1218
25,30,3.0,714146da31e0afc82ac1606ae27920d6,1346.84,16,43.75,2.7638,30.4929,0.1936
20,7,3.0,714146da31e0afc82ac1606ae27920d6,1341.93,15,33.33,3.8307,41.4204,0.1792
25,30,2.0,714146da31e0afc82ac1606ae27920d6,1323.95,22,40.91,2.0014,27.8934,0.1556
20,10,1.5,714146da31e0afc82ac1606ae27920d6,1322.02,27,37.04,1.733,29.9221,0.1356
15,30,1.0,714146da31e0afc82ac1606ae27920d6,1319.38,47,38.3,1.0705,40.1586,0.1006
10,30,1.0,714146da31e0afc82ac1606ae27920d6,1317.95,55,34.55,0.9406,43.6578,0.0928
15,25,1.0,714146da31e0afc82ac1606ae27920d6,1308.26,46,36.96,1.0767,39.9269,0.1
10,25,1.0,714146da31e0afc82ac1606ae27920d6,1305.07,54,35.19,0.9408,43.4585,0.0918
5,14,1.0,714146da31e0afc82ac1606ae27920d6,1304.41,72,34.72,0.8681,42.0436,0.0795
25,25,2.0,714146da31e0afc82ac1606ae27920d6,1301.19,22,40.91,1.9128,27.6115,0.1496
10,7,1.5,714146da31e0afc82ac1606ae27920d6,1301.04,38,34.21,1.4843,45.0891,0.1081
30,20,1.0,714146da31e0afc82ac1606ae27920d6,1283.7,33,39.39,1.0203,20.8612,0.1346
